Section,Question ID,Question Title,Applies To,Legal Reference,Guideline
A,A-14,Must an SEA and LEA maintain its prior year report cards?,SEA and LEA,2 CFR § 200.334 and 34 CFR § 76.731,"Yes. States are required to maintain at least three years of State and local report cards consistent with the requirements in 2 CFR § 200.334 and 34 CFR § 76.731. Because the requirement is to publicly report the State and local report cards, the prior year report cards must be publicly available."
B,B-1,What information must an SEA include on its State report card?,SEA,ESEA sections 1003(i); 1111(h)(1)(C); and 8401(e),The ESEA requires that each SEA that receives Title I funds prepare and disseminate an annual report card. State report cards must include information on the following categories: Clear and concise description of the State accountability system; Student achievement at each level on required assessments; Information on performance on other academic and school quality indicators; 4-year adjusted cohort graduation rates and extended-year rates if applicable; Number and percentage of English learners achieving English language proficiency; Information on progress toward State-designed long-term goals; Percentage of students assessed and not assessed; CRDC information; Educator qualifications; Per-pupil expenditures; Number and percentage of students with significant cognitive disabilities taking alternate assessments; NAEP results at grades 4 and 8; Postsecondary enrollment information if available; School improvement funds information; Waiver information if applicable; and any other information the SEA deems relevant.
B,B-2,What additional information might an SEA include on its State report card?,SEA,ESEA section 1111(h)(1)(C)(xiv),"An SEA may include on its State report card any other information it believes will best inform parents, students, and other members of the public about the progress of each elementary and secondary school. For example, an SEA might include information on: percentage of students requiring remediation in postsecondary education, career and technical certifications, 9th-graders promoted on time, teacher workforce characteristics, school readiness, accelerated coursework participation and completion, college entrance exam participation and scores, FAFSA completion, achievement on other statewide assessments, parent and student surveys, and demographic information. When considering optional information, the ESEA requires an SEA to ensure such information does not reveal personally identifiable information about individual students."
B,B-3,How does the ESEA require an SEA to disseminate its State report card?,SEA,ESEA section 1111(h)(1)(B)(iii),"The ESEA requires an SEA to disseminate its annual report card by making it available on a single page of the SEA's website. However, because not all parents or members of the public have access to the internet, an SEA might consider additional methods such as: printing copies for schools, libraries, and public locations; emailing information to parents; distributing via newspapers and media; developing public service announcements; engaging stakeholder groups; and developing smartphone applications. When using an online interactive report card, an SEA may wish to provide information on how to access and use its features, offer workshops, develop training videos, or provide other assistance."
B,B-4,Does the ESEA require that an SEA provide to the public information that can be cross-tabulated by student group?,SEA,ESEA section 1111(g)(2)(N),"Yes. For certain State report card elements, the ESEA requires that an SEA provide to the public information in an easily accessible and user-friendly manner that can be cross-tabulated by student groups. The ESEA requires that these student groups include, at a minimum, each major racial and ethnic group, gender, English proficiency status, and status as a child with or without disabilities. States may at their discretion include other student groups. In providing information that can be cross-tabulated, the ESEA requires that the SEA ensure it does not reveal personally identifiable information about an individual student or include in any student group a number of students that is insufficient to yield statistically reliable information, and that it complies with FERPA requirements."
B,B-5,For which data elements does the ESEA require that an SEA provide information that can be cross-tabulated by student group?,SEA,ESEA section 1111(g)(2)(N),"The ESEA requires that an SEA provide certain data elements from State report cards in a manner that can be cross-tabulated by, at a minimum, each major racial and ethnic student group, gender, English proficiency status, and children with and without disabilities on each of the following: Student achievement on academic assessments in mathematics, reading/language arts, and science at each level of achievement; For elementary and secondary schools that are not high schools, performance on the Academic Progress indicator; High school graduation rates, including four-year adjusted cohort graduation rate and any extended-year rates adopted by the State; and The percentage of students assessed and not assessed on academic assessments."
B,B-6,What does it mean to provide information that can be cross-tabulated by student group?,SEA,ESEA section 1111(g)(2)(N),"In basic terms, cross-tabulating information on a measure means analyzing and displaying the information in a table using multiple discrete variables. Providing information that can be cross-tabulated by student group means that the SEA enables users to create a table of results on the measure using multiple student groups. For example, through cross-tabulation, a user could obtain the four-year adjusted cohort graduation rate for students based on a combination of English proficiency and disability status. To meet the requirement, an SEA must ensure that users can obtain results for any combination of student groups, provided such combination does not reveal personally identifiable information, include insufficient numbers for statistical reliability, or otherwise violate FERPA requirements."
B,B-7,What information about school improvement funds reserved under ESEA section 1003 does the ESEA require that an SEA include on the State report card?,SEA,ESEA section 1003(i),"Under section 1003(a) of the ESEA, an SEA is required to reserve a portion of its Title I allocation to assist LEAs that serve schools implementing comprehensive support and improvement plans or targeted support and improvement plans. The ESEA further requires that the State report card include a list of all the LEAs and schools that received section 1003 school improvement funds, including the amount of funds allocated to an LEA overall and the amount allocated to serve each identified school included in the LEA's application and the types of strategies implemented in each school with such funds."
B,B-8,How might an SEA display on the State report card the required information about school improvement funds?,SEA,N/A,"SEAs have flexibility in how they display the required information. One approach an SEA may consider would be to create a table with columns for the LEA name, school name, school identification (e.g., Comprehensive Support and Improvement), amount of funds received, and type of strategy or strategies implemented."
C,C-1,What information does the ESEA require that an LEA include on its report card?,LEA,ESEA sections 1111(h)(1)(C) and (h)(2)(C); and 8401(e),"In general, the ESEA requires that an LEA, including a charter school LEA, that receives Title I funds report the same information on local report cards as is required for State report cards (with the exception of school improvement funds information). The ESEA also requires that an LEA report all information for the LEA as a whole and for each school served by the LEA, including public charter schools. Thus, although individual school report cards are not required, information about each school is required to be included on the local report card. Local report cards must include: All information required on State report cards as applied to the LEA and each school, except school improvement funds information; Student achievement comparisons showing how LEA students achieved compared to State students, and how school students achieved compared to LEA and State students; and any other information the LEA deems relevant."
C,C-2,May an LEA include additional information on its report card?,LEA,ESEA section 1111(h)(2)(D),"Yes. In addition to the data elements required by the ESEA, an LEA may include any other information it determines to be appropriate, whether or not that information is included on the State report card. An LEA may wish to include supplemental information that parents may find useful. When considering optional information to include, the ESEA requires an LEA to ensure that such information does not reveal personally identifiable information about individual students."
C,C-3,How does the ESEA require that an LEA disseminate its report card?,LEA,ESEA section 1111(h)(2)(B)(iii),"The ESEA requires that an LEA make the annual local report card publicly available on the LEA's website. If an LEA does not operate a website, the LEA may provide the information to the public in another manner determined by the LEA. For example, an LEA may make copies of the local report card available at the LEA administrative office, each school served by the LEA, local libraries, or other locations widely accessible to the public."
C,C-4,How can an LEA help parents to understand and act on the information provided on the local report card particularly information related to the schools their children attend?,LEA,N/A,"In addition to making local report cards publicly available, LEAs and schools may want to support parents in understanding the information provided in local report cards. Taking into consideration the context of the particular LEA and school, LEA and school staff may want to consider helping parents understand through opportunities such as: back-to-school nights, parent-teacher conferences, bilingual/multilingual community forums, brief webinars on accessing and reading report cards, teacher or school staff phone calls to parents, messaging via social media, and focus groups during family events. Schools can use report cards as one mechanism to engage parents in school improvement efforts."
D,D-1,What achievement data does the ESEA require an SEA and LEA to include on its report card?,SEA and LEA,"ESEA sections 1111(b)(2)(B)(xi), 1111(h)(1)(C)(ii) and (h)(2)(C)","The ESEA requires that State and local report cards include information on student achievement based on the reading/language arts, mathematics, and science assessments administered under ESEA section 1111(b)(2). In reporting achievement data, SEAs and LEAs must include data at each level of achievement, as determined by the State, for all students and disaggregated by each major racial and ethnic student group, economically disadvantaged students as compared to students who are not economically disadvantaged, children with disabilities as compared to children without disabilities, English proficiency status, gender, migrant status, students experiencing homelessness, students in foster care, and military-connected students."
D,D-2,How must an SEA calculate student achievement for the purposes of State and local report cards?,SEA and LEA,ESEA section 1111(h)(1)(C)(ii) and (h)(2)(C),"In calculating and reporting student achievement results, the ESEA requires that an SEA and LEA include all students tested. Thus, the denominator for this calculation must include all students enrolled during the testing window who participated in the assessment. The numerator must include the number of students at each level of achievement based on the State's grade-level academic achievement standards. Note that the denominator for this calculation must equal the numerator used in the calculation of the participation rate."
D,D-3,For purposes of disaggregating achievement data on State and local report cards what definitions apply?,SEA and LEA,34 CFR § 200.2(b)(11),"The ESEA does not define each of the student groups for which an SEA and LEA must disaggregate achievement data. Under 34 CFR § 200.2(b)(11), however, a State's assessment system must enable results to be disaggregated within each State, LEA, and school by the same student groups required for reporting student achievement and in accordance with specific definitions for: English proficiency status (as defined in ESEA section 8101(20)); Children with disabilities (defined per IDEA section 602(3)); Migrant status (as defined in ESEA section 1309(3)); Homeless status (as defined per McKinney-Vento Act section 725(2)); Foster care status; and Military connected status (as defined per the National Defense Authorization Act of 2020 amendment)."
D,D-4,In reporting student achievement for the English learner student group may an SEA and an LEA include results for former English learners?,SEA and LEA,ESEA section 1111(h)(1)(C)(ii) and (h)(2)(C),"No. It is important that parents and the public have a clear picture of the academic achievement of students who are currently learning English. Therefore, the ESEA provides that in reporting on the English learner student group, an SEA and LEA may only include current English learners in reporting on student achievement on the assessments required under ESEA section 1111(b)(2). (Note: For purposes of the State accountability system and not the reporting requirement, an SEA may include the results of former English learners for not more than four years after such students cease to be identified as English learners.)"
D,D-5,In reporting student achievement for the children with disabilities student group may an SEA and LEA include results for children who were formerly identified as children with disabilities?,SEA and LEA,ESEA section 1111(h)(1)(C)(ii) and (h)(2)(C),"No. It is important that parents and the public have a clear picture of the academic achievement of students who are currently receiving special education services under the IDEA. Therefore, the ESEA requires that in reporting on the children with disabilities student group, an SEA and LEA may include only current children with disabilities in reporting on student performance on the assessments required under ESEA section 1111(b)(2)."
D,D-6,If an SEA exempts recently arrived English learners from the first administration of its reading/language arts assessment how is achievement for these students reported on State and local report cards?,SEA and LEA,ESEA section 1111(b)(3)(A)(i); 34 CFR § 200.6(i)(1)(iii),"An SEA has the flexibility to exempt English learners in their first 12 months of schooling in the United States from one administration of the reading/language arts assessment. If an SEA takes advantage of this flexibility, both the SEA and its LEAs must report on State and local report cards, respectively, the number of recently arrived English learners who are exempted from taking the reading/language arts assessment. Since these students do not take the reading/language arts assessment, an SEA and LEA would not include such students in the achievement calculation. However, an SEA and LEA may include these students as participants in calculating the participation rate for the State reading/language arts assessment if they take the State's English language proficiency assessment. Recently arrived English learners are required to participate in the mathematics and science assessments."
D,D-7,How must an SEA and LEA report results for students with the most significant cognitive disabilities who take an alternate assessment aligned with alternate academic achievement standards (AA-AAAS) under ESEA section 1111(b)(2)(D)?,SEA and LEA,ESEA section 1111(h)(1)(C)(ii) and (h)(2)(C),"In reporting on student achievement, the ESEA requires that State and local report cards include the results for students with the most significant cognitive disabilities who take an AA-AAAS under ESEA section 1111(b)(2)(D). Thus, the number or percentage of students at each level of achievement must include students with the most significant cognitive disabilities who take an AA-AAAS. In addition, State and local report cards must include the number and percentages of students with the most significant cognitive disabilities who take an AA-AAAS, by grade and subject."
D,D-8,What information must an SEA and LEA include on its report card regarding participation rates?,SEA and LEA,ESEA section 1111(h)(1)(C)(vii) and (h)(2)(C),"The ESEA requires that an SEA and LEA report, for all students and disaggregated by each student group described in ESEA section 1111(b)(2)(B)(xi) (each major racial and ethnic group; economically disadvantaged students as compared to students who are not economically disadvantaged; children with disabilities as compared to children without disabilities; English proficiency status; gender; and migrant status) the percentage of students assessed and not assessed on the State's mathematics, reading/language arts, and science assessments."
D,D-9,May an SEA and LEA count students without a valid score as participating in the State assessments?,SEA and LEA,"ESEA section 1111(b)(2)(B)(ii), (vii); 20 U.S.C. 1412(a)(16)(A); 34 CFR § 300.160(a)","No. Only students with a valid score, as determined by the State, may be counted as participants on the State assessments. Under the ESEA, a State must design an assessment system that provides coherent information about student attainment of challenging State academic standards and use that system to assess all students in the tested grades in a valid and reliable manner, including students with disabilities and English learners. Given the requirement to assess all students, participation rate plays an important role in calculating the academic achievement indicator. Accordingly, students without a valid score may not be reported as participating in State assessments on either the State or local report card."
E,E-1,What information must State and local report cards include regarding a description of the statewide accountability system?,SEA and LEA,"ESEA section 1111(h)(1)(C)(i), (h)(2)(C)","The ESEA requires that State and local report cards include a clear and concise description of the State accountability system. This information is intended to help ensure that parents, teachers, principals, and other key stakeholders have access to information on each element of the State accountability system and how the elements work together in a coherent system. The ESEA requires State and local report cards to include a description of: the minimum n-size; State-designed long-term goals and measurements of interim progress for academic achievement, graduation rate, and English language proficiency; indicators used in the accountability system; the system for meaningfully differentiating schools including specific weights of indicators, methodology of differentiation, methodology for identifying consistently underperforming schools, and methodology for comprehensive support and improvement identification; and exit criteria for comprehensive support and improvement schools and additional targeted support and improvement schools."
E,E-2,How can SEAs and LEAs meet the requirement to include a description of the State accountability system on State and local report cards?,SEA and LEA,N/A,"SEAs and LEAs may meet the requirement to provide a description of the State accountability system by including such information directly on State and local report cards, respectively. SEAs and LEAs may also meet this requirement by providing the web address and linking to the description, provided the web page to which it links includes all of the accountability system description elements. SEAs and LEAs may want to describe the State accountability system in a way that enables parents and other stakeholders to understand what the system means and its implication for students."
E,E-3,What information must State and local report cards include regarding results of the statewide accountability system?,SEA and LEA,"ESEA section 1111(h)(1)(C)(i)(V), (h)(1)(C)(iii), (h)(1)(C)(v)-(vi), (h)(2)(C)","The ESEA requires that State and local report cards include the following results of the State accountability system: The number and names of all public schools identified for comprehensive or targeted support and improvement; and For all students and disaggregated by each student group as defined in ESEA section 1111(c)(2): Information on performance on the Other Academic indicator for elementary schools that are not high schools; Four-year adjusted cohort graduation rates and, if adopted by the State, extended-year adjusted cohort graduation rates (also disaggregated by homeless status and foster care status); Information on performance on the School Quality or Student Success indicator; and Information on the progress of students toward meeting the State-determined long-term goals, including progress against measurements of interim progress."
E,E-4,What additional information may help parents and other stakeholders understand the performance and progress of schools based on the State accountability system?,SEA and LEA,N/A,"In reporting the number and names of all identified public schools, an SEA and its LEAs may wish to indicate, for each school identified for comprehensive support and improvement or targeted support and improvement, the reason the school was identified. For comprehensive support schools, this would include: lowest-performing 5 percent of Title I schools; high school with graduation rate of 67 percent or lower; or Title I school previously identified for additional targeted support that failed to meet exit criteria. For targeted support schools, this would include: consistently underperforming student groups; or additional targeted support based on student group performance. The Department encourages reporting on individual measures or components within indicators when an indicator comprises multiple measures (e.g., for a college and career readiness indicator that includes multiple components)."
E,E-5,For which indicators may an SEA and LEA include former English learners in reporting the accountability system results for the English learner student group?,SEA and LEA,N/A,"For not more than four years after a student ceases to be identified as an English learner, an SEA and its LEAs may include the reading/language arts and mathematics assessment results of such student on State and local report cards for purposes of reporting the results of the English learner student group on any accountability indicator that relies on those assessments, including the Academic Achievement indicator, the Other Academic indicator if applicable, or a School Quality or Student Success indicator if applicable. An SEA and LEA may also include these results when calculating and reporting the progress of the English learner student group toward meeting State-designed long-term goals. An SEA and LEA may not include former English learners in reporting any other information required under ESEA section 1111(h), such as student performance on academic assessments or other indicators not relying on reading/language arts or mathematics assessments."
E,E-6,May an SEA or LEA include the assessment results for children who were formerly identified as children with disabilities in reporting on any accountability system results for the children with disabilities student group?,SEA and LEA,N/A,"No. The ESEA does not allow an SEA or LEA to include the assessment results for children who were formerly identified as children with disabilities in reporting on any accountability system results for the children with disabilities student group. Note, however, that for purposes of calculating and reporting graduation rates for the children with disabilities student group, a State may include students who were children with disabilities at any time during their graduation cohort period."
E,E-7,Must an SEA and LEA include the results for children with disabilities who take an AA-AAAS for students with the most significant cognitive disabilities in calculating and reporting accountability determinations?,SEA and LEA,N/A,"Yes. The ESEA requires that an SEA and LEA include all children with disabilities, including those who are students with the most significant cognitive disabilities who take an AA-AAAS, in each indicator in the State's accountability system, including achievement on the AA-AAAS in the Academic Achievement indicator."
E,E-8,How must the performance of recently arrived English learners on reading/language arts and mathematics assessments be reported for accountability purposes on State and local report cards?,SEA and LEA,ESEA section 1111(b)(3)(A); 34 CFR § 200.6(i)(1)(iii),"Under ESEA section 1111(b)(3)(A), an SEA has flexibility regarding how it includes recently arrived English learners in statewide reading/language arts and mathematics assessments and related accountability goals and indicators. The ESEA provides two exceptions to the general requirement. Under the first exception, an SEA may: exempt a recently arrived English learner from one administration of reading/language arts; exclude results on mathematics and English language proficiency assessments for accountability in the first year; and include results in the second year and thereafter. Under the second exception, an SEA may: assess and report but exclude results for accountability in the first year; include growth measures in the second year; and include proficiency measures in the third and succeeding years. Under either exception, all recently arrived English learners must be assessed on mathematics and science assessments, and results must be included in reporting on student achievement every year."
Section,Question ID,Question Title,Applies To,Legal Reference,Guideline
F,F-1,What is the data collected under section 203(c)(1) of the Department of Education Organization Act that SEAs and LEAs must include on report cards?,SEA and LEA,ESEA section 1111(h)(1)(C)(viii) and (h)(1)(D); 20 U.S.C. 3413(c)(1),"The data collected pursuant to section 203(c)(1) of the Department of Education Organization Act (20 U.S.C. 3413(c)(1)) includes the Civil Rights Data Collection (CRDC) and the chronic absenteeism file of the EDFacts initiative. Specifically, the ESEA requires that State and local report cards include the following information: In-school suspension rates (CRDC); Out-of-school suspension rates (CRDC); Expulsion rates (CRDC); School-related arrest rates (CRDC); Referrals to law enforcement rates (CRDC); Chronic absenteeism rates, including both excused and unexcused absences (EDFacts); Incidents of violence rates, including bullying and harassment (CRDC); Enrollment in preschool programs, including number only (CRDC); and Enrollment in accelerated coursework to earn postsecondary credit, including both number and percentage (CRDC). The ESEA specifies that these data must be provided on State and local report cards for all students and disaggregated by the same student groups as required to be reported under the CRDC and EDFacts, but only to the extent those student groups align with the subgroups required under ESEA section 1111(b)(2)(B)(xi). That is, the ESEA requires that State and local report cards include the CRDC and EDFacts data disaggregated by any student group that is also required under the ESEA (i.e., major racial and ethnic groups, English learners, gender and children with disabilities). The CRDC is a biennial (i.e., every other school year) survey required by the Office of Civil Rights (OCR). Since 1968, through the CRDC, OCR has collected data on key education and civil rights issues in the nation's public schools for use by OCR in its enforcement and monitoring efforts regarding equal educational opportunity."
F,F-1a,What chronic absenteeism data must SEAs and LEAs include on report cards?,SEA and LEA,ESEA section 1111(h)(1)(C)(viii) and (h)(2)(C); EDFacts file specification 195,"Starting in school year 2017-2018, chronic absenteeism data was no longer collected through the CRDC and instead was solely collected through EDFacts, which, for file specification 195, is a data collection conducted pursuant to section 203(c)(1) of the Department of Education Organization Act (20 U.S.C. 3413(c)(1)). Therefore, State and local report cards must include the data collected in EDFacts file specification 195 on the rates of chronic absenteeism, including both excused and unexcused absences. EDFacts is an initiative by the Department that centralizes performance data supplied by SEAs with other data assets, such as financial grant information, within the Department to enable better analysis and use in policy development, planning, and management."
F,F-2,What information regarding the categories of CRDC data required under the ESEA must SEAs and LEAs include on report cards to meet this requirement?,SEA and LEA,ESEA section 1111(h)(1)(C)(viii) and (h)(2)(C),"The CRDC collects and reports on several measures from which an SEA and LEA must select to include on State and local report cards to meet the reporting requirement. Due to the way the CRDC data are reported, some measures may be comprised of more than one survey item in order to capture data on all students. An SEA and LEA may include multiple measures within each category, but the ESEA requires that report cards include at least one measure within each category. The categories include: In-school suspensions (DISC-9b and DISC-7b); Out-of-school suspensions (DISC-11, DISC-9c, DISC-7c, DISC-9d, DISC-7d, and optional DISC-12, DISC-2, DISC-1a); Expulsions (DISC-9e, DISC-7e, DISC-9f, DISC-7f, DISC-9g, DISC-7g, and optional DISC-1b); School-related arrests (ARRS-2b and ARRS-1b); Referrals to law enforcement (ARRS-2a and ARRS-1a); Incidents of harassment or bullying (HIBS-1a, HIBS-1b, and optional HIBS-1c, HIBS-2a, HIBS-2b, HIBS-2c, HIBS-3a, HIBS-3b, HIBS-3c); Incidents of violent offenses (OFFN-1, and optional OFFN-2 through OFFN-10); Preschool programs (PSCH-1); and Accelerated coursework to earn postsecondary credit (APIB-6, APIB-2, PENR-4, and optional APIB-8, APIB-10, APIB-12). The State report card and report cards for each LEA in the State should include the same measures(s) within each category."
F,F-3,What preschool enrollment information is an SEA and LEA required to include on report cards?,SEA and LEA,ESEA section 1111(h)(1)(C)(viii); (h)(1)(D)(i); and (h)(2)(C),"SEAs and LEAs are only required to report preschool enrollment data that are submitted in accordance with the CRDC data collection. The CRDC preschool enrollment data only include information on the number of children served in an LEA's preschool program(s) or service(s), including programs and services that are provided by a non-LEA facility that has been contracted by the LEA. The CRDC data collection does not include data necessary to calculate the percentage of students enrolled in preschool programs, nor does it include information on children receiving preschool services provided under State-administered preschool programs or by other entities, such as community-based organizations. Therefore, SEAs and LEAs are not required to include such information on report cards. In addition to the required CRDC data on the number of students enrolled in preschool programs, an SEA and LEA may choose to include other information related to preschool enrollment on report cards, such as the number and percentage of students enrolled in preschool programs not included in the CRDC. If an SEA or LEA elects to include such information, it should report this information separately."
F,F-4,How does an SEA and LEA determine the percentage of students enrolled in accelerated coursework to earn postsecondary credit while still in high school?,SEA and LEA,ESEA section 1111(h)(1)(C)(viii) and (h)(2)(C),"To determine the percentage of students enrolled in accelerated coursework to earn postsecondary credit while still in high school, an SEA and LEA would use a school's enrollment as reflected on the CRDC's Student Enrollment survey items as the denominator. To the extent that using school-wide student enrollment as the denominator would undermine the comparability of data for certain schools (e.g., K-12 schools) an SEA or LEA may also determine the percentage using a denominator from an alternate data source (e.g., based on enrollment in grades 9-12). If an SEA or LEA elects to include such information, it should report this information separately."
F,F-5,Does the ESEA require that the SEA and LEA use the CRDC data described in question F-2 to meet the reporting requirements?,SEA and LEA,ESEA section 1111(h)(1)(C)(viii) and (h)(2)(C),"Yes. At a minimum, the ESEA requires that SEAs and LEAs use CRDC data to meet the reporting requirements under ESEA section 1111(h)(1)(C)(viii) and (h)(2)(C). To support SEAs and LEAs in doing so, the Department will make available to SEAs the CRDC data that the ESEA requires them to use to meet this reporting requirement. For an SEA in which LEAs produce local report cards (as opposed to instances where the SEA produces the local report cards), the SEA would be responsible for providing each LEA with the CRDC data that must be used to meet this reporting requirement."
F,F-6,How can an SEA and LEA meet their privacy obligations while including the CRDC data on State and local report cards?,SEA and LEA,FERPA; ESEA section 1111(i),"The best way an SEA and LEA can avoid risking a privacy disclosure in the CRDC data included on report cards is to use CRDC data files available from the Department. This will ensure that appropriate and consistent methodologies for protecting student privacy are uniformly applied to the data that will be used in the report cards. This also will ensure that information that is provided on State and local report cards is aligned with what the Department provides in its public release of CRDC data, thus ensuring consistency and reducing the risk of disclosure of personally identifiable information. If an SEA or LEA uses data submitted to the Department and applies its own privacy protections, instead of the data released by the Department to which privacy protection routines have been applied, it will be difficult, if not impossible, to avoid an inadvertent disclosure when using the data released by the SEA or LEA in combination with data released by the Department."
F,F-7,Does the ESEA require that the SEA and LEA include CRDC data on report cards annually?,SEA and LEA,ESEA section 1111(h)(1)(C)(viii) and (h)(2)(C),"Yes. The ESEA requires an SEA and its LEAs to include CRDC data annually on their report cards. Since the CRDC is a biennial data collection, SEAs and LEAs may include the same information on report cards over consecutive years, using the most recently available data provided by the Department, in order to meet this reporting requirement."
